iter	Logloss
162	0.2207539808
163	0.2206095433
164	0.2202897727
165	0.220212398
166	0.2201262424
167	0.2196810391
168	0.2191435713
169	0.2187852399
170	0.2186541594
171	0.2184951501
172	0.2182784584
173	0.2181385641
174	0.2180501739
175	0.2175207104
176	0.2173393362
177	0.2172152689
178	0.2166191114
179	0.2164771578
180	0.2163899951
181	0.2159619581
182	0.2152222966
183	0.2150716393
184	0.2149409178
185	0.2145436184
186	0.213992332
187	0.2135050029
188	0.2134235581
189	0.2132668133
190	0.2131699772
191	0.2129726092
192	0.2128500215
193	0.2127519263
194	0.2126984842
195	0.2125698263
196	0.2123747278
197	0.2120708132
198	0.2117342891
199	0.2116449966
200	0.2115435418
201	0.2113580067
202	0.2112521548
203	0.2107465523
204	0.2103578182
205	0.2102852733
206	0.2101810806
207	0.2100589323
208	0.2099329458
209	0.2095702434
210	0.2093537191
211	0.2092314349
212	0.2088615811
213	0.2087882569
214	0.2087276794
215	0.2086114756
216	0.2084798773
217	0.2082038611
218	0.2076452254
219	0.2069053868
220	0.2067643529
221	0.2066895347
222	0.206081912
223	0.2058370067
224	0.2057356609
225	0.2053047475
226	0.2051616202
227	0.2050273355
228	0.204831475
229	0.2043418748
230	0.2042504594
231	0.2041191534
232	0.2038445969
233	0.2037807206
234	0.2036103769
235	0.2035110915
236	0.2033706588
237	0.2032876054
238	0.2026192791
239	0.2025487461
240	0.2023980099
241	0.2022832808
242	0.2022059715
243	0.2021092487
244	0.2017536761
245	0.2016573198
246	0.2015627922
247	0.201065768
248	0.2009135765
249	0.2008246584
250	0.2007247376
251	0.2006399455
252	0.2005506934
253	0.2003898745
254	0.200302595
255	0.200188255
256	0.2001035625
257	0.2000284097
258	0.1998350641
259	0.1993817356
260	0.1990553393
261	0.1989186141
262	0.1988396508
263	0.1987632342
264	0.1983985529
265	0.1981130795
266	0.198027067
267	0.1979585854
268	0.1978856817
269	0.1978006654
270	0.1976782104
271	0.1970355927
272	0.196913533
273	0.196748438
274	0.1966423565
275	0.1964232063
276	0.1962678004
277	0.1961560064
278	0.1960366433
279	0.1957765527
280	0.1956638108
281	0.1956000146
282	0.1954744811
283	0.1953738716
284	0.195196845
285	0.1950862159
286	0.1945404413
287	0.1944505209
288	0.1940288395
289	0.1939032623
290	0.1938211711
291	0.1937407589
292	0.1936294258
293	0.1932980027
294	0.1932163581
295	0.1930751028
296	0.1929742184
297	0.1928821824
298	0.1924901061
299	0.1922603396
300	0.1921756744
301	0.1920951464
302	0.1919565606
303	0.1918311335
304	0.1917316829
305	0.1916498148
306	0.1912725471
307	0.1911794239
308	0.1910626302
309	0.1908587133
310	0.190761255
311	0.1906585342
312	0.190274852
313	0.1902038136
314	0.1901189772
315	0.1899991121
316	0.1898819809
317	0.189751679
318	0.1896718623
319	0.189608094
320	0.1895200638
321	0.1894163329
322	0.1892177895
323	0.189123737
324	0.1890544948
325	0.1889060102
326	0.1887996001
327	0.1886947703
328	0.1886345161
329	0.1885808265
330	0.1884430948
331	0.1883382687
332	0.1882302453
333	0.1881326636
334	0.187997192
335	0.1879101641
336	0.1878385537
337	0.1876103619
338	0.1875230958
339	0.1873491939
340	0.1872969796
341	0.1872117562
342	0.1870660506
343	0.1869646295
344	0.1869036945
345	0.1867168966
346	0.1866382102
347	0.1865732689
348	0.1864423902
349	0.1863671396
350	0.1862952314
351	0.1862132269
352	0.1861111031
353	0.1860169929
354	0.1859493597
355	0.1858473093
356	0.1857326889
357	0.185638206
358	0.1853812207
359	0.1852371422
360	0.1851550865
361	0.18506661
362	0.1849345907
363	0.1848304589
364	0.1845677391
365	0.1844509595
366	0.1843954547
367	0.1841657102
368	0.1840696879
369	0.1839856502
370	0.1839052136
371	0.183836196
372	0.1837444421
373	0.1834977973
374	0.1833904928
375	0.1833429506
376	0.1832816022
377	0.1831901164
378	0.1830925782
379	0.1830507255
380	0.1829465714
381	0.1828638193
382	0.1827111583
383	0.1823771479
384	0.1822783704
385	0.1821971224
386	0.1820486849
387	0.1819763156
388	0.1818890501
389	0.1818242736
390	0.181729074
391	0.1816372312
392	0.181523649
393	0.181449152
394	0.181376953
395	0.1813051772
396	0.1811803097
397	0.1810140416
398	0.1809333066
399	0.1808111957
400	0.1807297318
401	0.1806390857
402	0.1805661467
403	0.1803149206
404	0.1802470805
405	0.1802083438
406	0.1801558818
407	0.1800689449
408	0.179958627
409	0.179905207
410	0.1798150033
411	0.1797453943
412	0.1796541601
413	0.1795487002
414	0.1793346608
415	0.1792531572
416	0.1791631117
417	0.1791045469
418	0.1790447177
419	0.1789203068
420	0.1788611265
421	0.1787924706
422	0.1787247372
423	0.1784932628
424	0.1783755244
425	0.1782973876
426	0.1782393709
427	0.1781279914
428	0.1780009996
429	0.1779190119
430	0.1778274279
431	0.177719029
432	0.1776505287
433	0.1775867401
434	0.1775180002
435	0.177435479
436	0.1773592939
437	0.1772958064
438	0.1772313195
439	0.177152515
440	0.1770503983
441	0.1769739341
442	0.176915597
443	0.1768519104
444	0.1767699822
445	0.1767079395
446	0.1766342964
447	0.1765882756
448	0.1765204473
449	0.176433831
450	0.1763553134
451	0.1762781313
452	0.1762134093
453	0.1761454915
454	0.1760779684
455	0.1760130326
456	0.1759317309
457	0.1758668034
458	0.1756821565
459	0.1756315738
460	0.1755740151
461	0.1754952363
462	0.1754338806
463	0.1753862371
464	0.1753327587
465	0.1751526141
466	0.17498539
467	0.1749149116
468	0.1748304302
469	0.1747296944
470	0.1745246401
471	0.1744620123
472	0.1744046429
473	0.1743491654
474	0.1742031594
475	0.1741377709
476	0.1740970786
477	0.1740172877
478	0.1739451074
479	0.1738857799
480	0.1738288204
481	0.1735609015
482	0.1735052449
483	0.1734004926
484	0.1733315455
485	0.1732703367
486	0.1731847643
487	0.1731232391
488	0.173012473
489	0.1729523799
490	0.1728933247
491	0.1728239423
492	0.1725033135
493	0.1724363572
494	0.1723950062
495	0.1723466729
496	0.1722806297
497	0.1722308493
498	0.1721891414
499	0.17212829
