iter	Passed	Remaining
192	7656	12179
193	7696	12140
194	7746	12116
195	7796	12092
196	7833	12047
197	7875	12011
198	7904	11955
199	7948	11922
200	7993	11890
201	7999	11800
202	8045	11771
203	8072	11713
204	8097	11652
205	8145	11625
206	8178	11576
207	8220	11540
208	8235	11466
209	8241	11381
210	8283	11346
211	8323	11308
212	8362	11267
213	8385	11206
214	8432	11177
215	8475	11143
216	8506	11093
217	8539	11046
218	8582	11012
219	8632	10986
220	8637	10904
221	8668	10855
222	8705	10813
223	8737	10766
224	8783	10735
225	8826	10700
226	8866	10662
227	8905	10624
228	8935	10573
229	8983	10545
230	9029	10515
231	9068	10476
232	9086	10412
233	9132	10381
234	9174	10345
235	9201	10292
236	9238	10251
237	9282	10218
238	9323	10181
239	9365	10145
240	9386	10087
241	9419	10042
242	9458	10003
243	9488	9955
244	9533	9922
245	9582	9893
246	9616	9850
247	9635	9790
248	9681	9759
249	9731	9731
250	9758	9680
251	9784	9629
252	9831	9598
253	9870	9559
254	9905	9517
255	9934	9469
256	9980	9436
257	10019	9398
258	10053	9355
259	10086	9310
260	10132	9278
261	10168	9236
262	10204	9195
263	10233	9148
264	10282	9118
265	10323	9081
266	10374	9053
267	10408	9010
268	10437	8963
269	10482	8929
270	10532	8900
271	10572	8862
272	10609	8821
273	10634	8771
274	10679	8737
275	10707	8690
276	10744	8650
277	10781	8610
278	10827	8576
279	10861	8534
280	10898	8493
281	10924	8445
282	10969	8411
283	11004	8369
284	11023	8315
285	11046	8265
286	11075	8219
287	11119	8185
288	11152	8142
289	11179	8095
290	11221	8059
291	11260	8020
292	11292	7978
293	11332	7940
294	11375	7905
295	11419	7870
296	11451	7827
297	11487	7787
298	11526	7748
299	11568	7712
300	11598	7668
301	11635	7628
302	11676	7591
303	11716	7554
304	11748	7511
305	11789	7474
306	11822	7432
307	11866	7397
308	11901	7356
309	11937	7316
310	11973	7276
311	12016	7240
312	12048	7198
313	12077	7154
314	12118	7117
315	12123	7059
316	12145	7011
317	12174	6967
318	12217	6932
319	12261	6897
320	12300	6859
321	12340	6821
322	12370	6778
323	12416	6744
324	12448	6703
325	12483	6662
326	12528	6628
327	12567	6590
328	12616	6557
329	12660	6522
330	12700	6484
331	12728	6440
332	12767	6403
333	12815	6369
334	12853	6330
335	12884	6288
336	12916	6247
337	12952	6207
338	12991	6169
339	13018	6126
340	13064	6091
341	13069	6037
342	13115	6003
343	13150	5963
344	13173	5918
345	13215	5881
346	13236	5836
347	13267	5794
348	13315	5761
349	13359	5725
350	13386	5682
351	13425	5644
352	13465	5607
353	13489	5563
354	13516	5520
355	13564	5486
356	13598	5447
357	13636	5408
358	13672	5369
359	13715	5333
360	13749	5294
361	13783	5254
362	13817	5214
363	13864	5180
364	13893	5138
365	13918	5095
366	13965	5061
367	14000	5021
368	14039	4984
369	14070	4943
370	14114	4907
371	14119	4858
372	14124	4809
373	14156	4769
374	14190	4730
375	14218	4688
376	14263	4653
377	14268	4605
378	14315	4570
379	14361	4535
380	14387	4493
381	14416	4453
382	14459	4417
383	14468	4370
384	14515	4335
385	14552	4298
386	14590	4260
387	14624	4221
388	14665	4184
389	14710	4149
390	14733	4107
391	14766	4068
392	14815	4033
393	14855	3996
394	14885	3956
395	14920	3918
396	14964	3882
397	15006	3845
398	15035	3806
399	15066	3766
400	15116	3731
401	15156	3694
402	15185	3654
403	15221	3616
404	15264	3580
405	15295	3541
406	15319	3500
407	15365	3464
408	15400	3426
409	15439	3389
410	15467	3349
411	15516	3314
412	15554	3276
413	15572	3234
414	15617	3198
415	15665	3163
416	15700	3125
417	15741	3088
418	15774	3049
419	15816	3012
420	15855	2975
421	15882	2935
422	15919	2897
423	15965	2861
424	15999	2823
425	16036	2785
426	16066	2746
427	16111	2710
428	16144	2671
429	16168	2632
430	16212	2595
431	16222	2553
432	16264	2516
433	16303	2479
434	16352	2443
435	16386	2405
436	16420	2367
437	16465	2330
438	16499	2292
439	16546	2256
440	16594	2220
441	16617	2180
442	16659	2143
443	16696	2105
444	16725	2067
445	16764	2029
446	16808	1992
447	16848	1955
448	16880	1917
449	16917	1879
450	16965	1843
451	17000	1805
452	17031	1767
453	17065	1729
454	17113	1692
455	17148	1654
456	17181	1616
457	17217	1578
458	17263	1542
459	17296	1504
460	17344	1467
461	17385	1430
462	17416	1391
463	17421	1351
464	17465	1314
465	17497	1276
466	17540	1239
467	17570	1201
468	17615	1164
469	17652	1126
470	17690	1089
471	17715	1050
472	17763	1013
473	17800	976
474	17817	937
475	17848	899
476	17867	861
477	17913	824
478	17950	786
479	17967	748
480	18000	711
481	18032	673
482	18065	635
483	18111	598
484	18138	560
485	18168	523
486	18215	486
487	18248	448
488	18285	411
489	18323	373
490	18365	336
491	18413	299
492	18449	261
493	18482	224
494	18516	187
495	18563	149
496	18602	112
497	18637	74
498	18665	37
499	18712	0
