MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,ORIGIN,ORIGIN_STATE_ABR,DEST,DEST_STATE_ABR,CRS_DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,CRS_ARR_TIME,CANCELLED,CRS_ELAPSED_TIME,DISTANCE,DISTANCE_GROUP
4,1,2,AS,ANC,AK,SEA,WA,1005,-3.00,0.00,0.00,-1,1435,0.00,210.00,1448.00,6
4,1,2,AS,ANC,AK,SEA,WA,1218,42.00,42.00,1.00,2,1649,0.00,211.00,1448.00,6
4,1,2,AS,ANC,AK,SEA,WA,1420,64.00,64.00,1.00,4,1851,0.00,211.00,1448.00,6
4,1,2,AS,ANC,AK,SEA,WA,1630,6.00,6.00,0.00,0,2100,0.00,210.00,1448.00,6
4,1,2,AS,ANC,AK,SEA,WA,1930,-8.00,0.00,0.00,-1,2358,0.00,208.00,1448.00,6
4,1,2,AS,ATL,GA,SEA,WA,0800,6.00,6.00,0.00,0,1035,0.00,335.00,2182.00,9
4,1,2,AS,ATL,GA,SEA,WA,1918,31.00,31.00,1.00,2,2158,0.00,340.00,2182.00,9
4,1,2,AS,AUS,TX,SEA,WA,0735,-2.00,0.00,0.00,-1,1009,0.00,274.00,1770.00,8
4,1,2,AS,AUS,TX,SEA,WA,1330,-10.00,0.00,0.00,-1,1610,0.00,280.00,1770.00,8
4,1,2,AS,AUS,TX,SEA,WA,1811,-5.00,0.00,0.00,-1,2050,0.00,279.00,1770.00,8
4,1,2,AS,BNA,TN,SEA,WA,0700,11.00,11.00,0.00,0,1010,0.00,310.00,1978.00,8
4,1,2,AS,BNA,TN,SEA,WA,1746,28.00,28.00,1.00,1,2054,0.00,308.00,1978.00,8
4,1,2,AS,BOI,ID,SEA,WA,0940,-9.00,0.00,0.00,-1,1019,0.00,99.00,399.00,2
4,1,2,AS,BOI,ID,SEA,WA,1447,48.00,48.00,1.00,3,1517,0.00,90.00,399.00,2
4,1,2,AS,BOS,MA,SEA,WA,0700,170.00,170.00,1.00,11,1028,0.00,388.00,2496.00,10
4,1,2,AS,BOS,MA,SEA,WA,1730,-11.00,0.00,0.00,-1,2054,0.00,384.00,2496.00,10
4,1,2,AS,BUR,CA,SEA,WA,0700,10.00,10.00,0.00,0,0945,0.00,165.00,937.00,4
4,1,2,AS,BUR,CA,SEA,WA,1206,25.00,25.00,1.00,1,1452,0.00,166.00,937.00,4
4,1,2,AS,BUR,CA,SEA,WA,1351,-15.00,0.00,0.00,-1,1637,0.00,166.00,937.00,4
4,1,2,AS,BUR,CA,SEA,WA,1625,-11.00,0.00,0.00,-1,1909,0.00,164.00,937.00,4
4,1,2,AS,BUR,CA,SEA,WA,1918,-4.00,0.00,0.00,-1,2200,0.00,162.00,937.00,4
4,1,2,AS,BWI,MD,SEA,WA,1903,-1.00,0.00,0.00,-1,2200,0.00,357.00,2335.00,10
4,1,2,AS,BZN,MT,SEA,WA,1453,-3.00,0.00,0.00,-1,1547,0.00,114.00,543.00,3
4,1,2,AS,CHS,SC,SEA,WA,1838,-9.00,0.00,0.00,-1,2149,0.00,371.00,2415.00,10
4,1,2,AS,CLE,OH,SEA,WA,1948,12.00,12.00,0.00,0,2200,0.00,312.00,2021.00,9
4,1,2,AS,CMH,OH,SEA,WA,1823,-13.00,0.00,0.00,-1,2035,0.00,312.00,2016.00,9
4,1,2,AS,CVG,KY,SEA,WA,1836,-10.00,0.00,0.00,-1,2037,0.00,301.00,1965.00,8
4,1,2,AS,DAL,TX,SEA,WA,1938,-9.00,0.00,0.00,-1,2159,0.00,261.00,1670.00,7
4,1,2,AS,DCA,VA,SEA,WA,0800,-8.00,0.00,0.00,-1,1058,0.00,358.00,2329.00,10
4,1,2,AS,DCA,VA,SEA,WA,1755,15.00,15.00,1.00,1,2055,0.00,360.00,2329.00,10
4,1,2,AS,DEN,CO,SEA,WA,0700,-7.00,0.00,0.00,-1,0907,0.00,187.00,1024.00,5
4,1,2,AS,DEN,CO,SEA,WA,1244,9.00,9.00,0.00,0,1445,0.00,181.00,1024.00,5
4,1,2,AS,DEN,CO,SEA,WA,1738,3.00,3.00,0.00,0,1941,0.00,183.00,1024.00,5
4,1,2,AS,DEN,CO,SEA,WA,1957,54.00,54.00,1.00,3,2159,0.00,182.00,1024.00,5
4,1,2,AS,DFW,TX,SEA,WA,0725,-9.00,0.00,0.00,-1,0948,0.00,263.00,1660.00,7
4,1,2,AS,DFW,TX,SEA,WA,0930,-6.00,0.00,0.00,-1,1154,0.00,264.00,1660.00,7
4,1,2,AS,DFW,TX,SEA,WA,1340,-7.00,0.00,0.00,-1,1559,0.00,259.00,1660.00,7
4,1,2,AS,DFW,TX,SEA,WA,1751,22.00,22.00,1.00,1,2015,0.00,264.00,1660.00,7
4,1,2,AS,DTW,MI,SEA,WA,1710,2.00,2.00,0.00,0,1909,0.00,299.00,1927.00,8
4,1,2,AS,EUG,OR,SEA,WA,0830,40.00,40.00,1.00,2,0940,0.00,70.00,234.00,1
4,1,2,AS,EWR,NJ,SEA,WA,0700,-7.00,0.00,0.00,-1,1015,0.00,375.00,2402.00,10
4,1,2,AS,EWR,NJ,SEA,WA,1529,-8.00,0.00,0.00,-1,1844,0.00,375.00,2402.00,10
4,1,2,AS,FAI,AK,SEA,WA,0145,-8.00,0.00,0.00,-1,0625,0.00,220.00,1533.00,7
4,1,2,AS,FAI,AK,SEA,WA,0700,-6.00,0.00,0.00,-1,1139,0.00,219.00,1533.00,7
4,1,2,AS,FAI,AK,SEA,WA,0958,-13.00,0.00,0.00,-1,1440,0.00,222.00,1533.00,7
4,1,2,AS,FAI,AK,SEA,WA,1200,1.00,1.00,0.00,0,1640,0.00,220.00,1533.00,7
4,1,2,AS,FAI,AK,SEA,WA,1553,10.00,10.00,0.00,0,2035,0.00,222.00,1533.00,7
4,1,2,AS,FAT,CA,SEA,WA,1654,-4.00,0.00,0.00,-1,1910,0.00,136.00,748.00,3
4,1,2,AS,FLL,FL,SEA,WA,0700,5.00,5.00,0.00,0,1040,0.00,400.00,2717.00,11
4,1,2,AS,FLL,FL,SEA,WA,1805,31.00,31.00,1.00,2,2200,0.00,415.00,2717.00,11
4,1,2,AS,GEG,WA,LAX,CA,0630,-7.00,0.00,0.00,-1,0918,0.00,168.00,945.00,4
4,1,2,AS,GEG,WA,SAN,CA,0710,-11.00,0.00,0.00,-1,1000,0.00,170.00,1027.00,5
4,1,2,AS,GEG,WA,SEA,WA,0600,-10.00,0.00,0.00,-1,0709,0.00,69.00,224.00,1
4,1,2,AS,GEG,WA,SEA,WA,0700,-7.00,0.00,0.00,-1,0809,0.00,69.00,224.00,1
4,1,2,AS,GEG,WA,SEA,WA,0800,-3.00,0.00,0.00,-1,0909,0.00,69.00,224.00,1
4,1,2,AS,GEG,WA,SEA,WA,1329,13.00,13.00,0.00,0,1435,0.00,66.00,224.00,1
4,1,2,AS,GEG,WA,SEA,WA,1748,26.00,26.00,1.00,1,1854,0.00,66.00,224.00,1
4,1,2,AS,HNL,HI,PAE,WA,1438,7.00,7.00,0.00,0,2338,0.00,360.00,2694.00,11
4,1,2,AS,HNL,HI,SEA,WA,1126,49.00,49.00,1.00,3,2023,0.00,357.00,2677.00,11
